time (sec),theta (rad)
31.1117541,-0.000723154
31.14513581,-0.000723154
31.17851752,-0.000723154
31.21189923,-0.000723154
31.24528094,-0.000901821
31.27866265,-0.000901821
31.31204436,-0.000901821
31.34542607,-0.000901821
31.37880778,-0.000901821
31.41218949,-0.000901821
31.4455712,-0.000723154
31.47895291,-0.000901821
31.51233462,-0.000723154
31.54571633,-0.000723154
31.57909804,-0.000723154
31.61247975,-0.000723154
31.64586146,-0.000723154
31.67924317,-0.000723154
31.71262488,-0.000723154
31.74600659,-0.000723154
31.7793883,-0.000723154
31.81277002,-0.000723154
31.84615173,-0.000723154
31.87953344,-0.000723154
31.91291515,-0.000723154
31.94629686,-0.000723154
31.97967857,-0.000723154
32.01306028,-0.000723154
32.04644199,-0.000723154
32.0798237,-0.000723154
32.11320541,-0.000723154
32.14658712,-0.000901821
32.17996883,-0.000901821
32.21335054,-0.000901821
32.24673225,-0.000901821
32.28011396,-0.000901821
32.31349567,-0.000901821
32.34687738,-0.000901821
32.38025909,-0.000901821
32.4136408,-0.000901821
32.44702251,-0.000901821
32.48040422,-0.000723154
32.51378593,-0.000723154
32.54716764,-0.000723154
32.58054935,-0.000723154
32.61393107,-0.000723154
32.64731278,-0.000723154
32.68069449,-0.000723154
32.7140762,-0.000723154
32.74745791,-0.000723154
32.78083962,-0.000723154
32.81422133,-0.000723154
32.84760304,-0.000723154
32.88098475,-0.000901821
32.91436646,-0.000901821
32.94774817,-0.000901821
32.98112988,-0.000901821
33.01451159,-0.000901821
33.0478933,-0.000901821
33.08127501,-0.000901821
33.11465672,-0.000901821
33.14803843,-0.000901821
33.18142014,-0.000901821
33.21480185,-0.000901821
33.24818356,-0.000723154
33.28156527,-0.000723154
33.31494698,-0.000723154
33.34832869,-0.000723154
33.3817104,-0.000723154
33.41509211,-0.000723154
33.44847383,-0.000723154
33.48185554,-0.000723154
33.51523725,-0.000723154
33.54861896,-0.000723154
33.58200067,-0.000723154
33.61538238,-0.000723154
